"No.|Date|Genre|Bibl|ContextBefore|Hit|ContextAfter"
"361|2003-02-04|Zeitung|Berliner Zeitung, 04.02.2003|Den Politikern gebe ich schon einen Ratschlag:|Sie sollten Politik auf kommunaler Ebene machen und sich dabei an den Bedürfnissen der Menschen orientieren.|Die Menschen haben Nöte und Ängste, sie wollen konkrete Antworten bekommen."
"362|2003-02-05|Zeitung|Berliner Zeitung, 05.02.2003|Sie eröffne den Weg zu einer weiteren Deeskalation.|Leitartikel Seite 4, Politik Seite 5|"
"363|2003-02-05|Zeitung|Berliner Zeitung, 05.02.2003|Offenbar hat Kagans Diagnose einen neuralgischen Punkt in den transatlantischen Beziehungen getroffen.|Selbst die jüngsten Umfragen zeigen, dass die Bevölkerungen Europas, sogar in den Nationen, deren Regierungen unlängst ein Bekenntnis zu Gunsten der Politik von Bush abgegeben haben, nach einem Votum des Sicherheitsrates der Vereinten Nationen verlangen.|Europas Glaube an die Notwendigkeit völkerrechtlicher Einhegung transnationaler Konflikte ist ungebrochen, selbst wenn der Utopie einer gemeinsamen europäischen Außen- und Sicherheitspolitik die Stunde geschlagen hat."
"364|2003-02-05|Zeitung|Berliner Zeitung, 05.02.2003|Europas Glaube an die Notwendigkeit völkerrechtlicher Einhegung transnationaler Konflikte ist ungebrochen, selbst wenn der Utopie einer gemeinsamen europäischen Außen- und Sicherheitspolitik die Stunde geschlagen hat.|Die uneingeschränkte Unterstützung für die Politik eines Präsidenten, der noch am vergangenen Mittwoch vor laufenden Mikrofonen befürchtete, der Sicherheitsrat sei ""ein hohler Diskutierclub"", sähe jedenfalls anders aus.|Denn Bushs Regierung hatte frühzeitig erklärt, jetzt müsse gehandelt werden, im Zweifelsfall ohne die Rückendeckung durch die Uno."
"365|2003-02-05|Zeitung|Berliner Zeitung, 05.02.2003|Die Frage, ob er in Hannover bleiben würde oder nicht doch nach Berlin schiele, ließ er von sich abperlen:|""Politik ist nicht planbar.""|Auf ein Nachhaken des Moderators wartete man nicht nur an dieser Stelle vergeblich."
"366|2003-02-05|Zeitung|Berliner Zeitung, 05.02.2003|Das Klima ist sehr offen und demokratisch "", erzählt der DAAD-Stipendiat.|Er verspricht sich von seinem Auslandsstudium gute Chancen daheim und plant eine Karriere in der Politik.|Junge Nachwuchskräfte wie Abushev brauchen die Länder Zentralasiens, um den politischen und wirtschaftlichen Transformationsprozess zu bewältigen."
"367|2003-02-05|Zeitung|Berliner Zeitung, 05.02.2003|Von einem ""Ausdruck erlebter Demokratie"" sprach die Vorsitzende in ihrer Laudatio.|Fast euphorisch schwärmte sie, dass ""im besonderen Maße auch an die Zukunftsperspektiven der Jugend"" gedacht wurde und auch an das ""Vernetzen von Politik, Wirtschaft, Kultur, Sport und Bildung"".|Das am vorigen Freitag verteilte Lob galt einem eigentlich gar nicht so ungewöhnlichen Vorhaben - dem Auftritt einer brandenburgischen Kleinstadt im Internet. Zossen (Teltow-Fläming) hatte sich mit seiner Vorstellung, wie sich eine Kommune im Netz darstellen sollte, an einem Wettbewerb des Bundesinnenministers beteiligt."
"368|2003-02-06|Zeitung|Berliner Zeitung, 06.02.2003|Als Qualifikation für das Präsidentenamt fiel ihm jetzt ein:|""Ich beobachte die Politik und kenne viele Länder.""|Immerhin fand er die Initiative seiner Kollegen humorvoll."
"369|2003-02-06|Zeitung|Berliner Zeitung, 06.02.2003|""Wir erhoffen von einem Freund und Verbündeten, dass er uns nicht behindert"", sagte Coats.|Tagesthema S. 2, Leitartikel S. 4, Politik S. 6, Media S. 13|"
"370|2003-02-06|Zeitung|Berliner Zeitung, 06.02.2003|Eine Umstellung der Statistik auf das EU-Verfahren hätte neben der besseren Vergleichbarkeit aber noch einen weiteren Vorteil.|Denn ist das neue System erst einmal etabliert, kann die Politik nicht mehr ohne weiteres das Zahlenwerk frisieren.|Bisher war das kein Problem."
"371|2003-02-06|Zeitung|Berliner Zeitung, 06.02.2003|Grund sind die ebenso hartnäckigen wie offenbar unbelegbaren Versuche der Regierung, den irakischen Diktator Saddam Hussein mit Osama Bin Ladens Terrortruppe El Kaida in Verbindung zu bringen.|Am Mittwoch trat der seit längerem schwelende Konflikt zwischen Politik und den Geheimdiensten offen zu Tage.|Da präsentierte die öffentlich-rechtliche BBC ihr zugespieltes, erst drei Wochen altes Geheimdienst-Dossier (Vertraulich streng geheim), in dem die Fachleute ihrem Premier unmissverständlich mitteilen:"
"372|2003-02-06|Zeitung|Berliner Zeitung, 06.02.2003|Wir akzeptieren das Nein, wenn auch zögernd und enttäuscht.|Aber wir erhoffen von einem Freund und Verbündeten, dass er uns nicht behindert, wenn wir unsere Politik verfolgen und andere zu überzeugen versuchen.|Mit anderen Worten:"
"373|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Grünen-Fraktionschefin Krista Sager sagte, Powells Vortrag legitimiere keinen Krieg.|Leitartikel S. 4, Politik S. 6 und 7|"
"374|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Zu wenig Ausbildungsplätze|Nach den Vorstellungen von Arbeitgeberpräsident Hundt sollten sich Wirtschaftsverbände, Gewerkschaften und Politik im Rahmen des Bündnisses auf einen sechs Punkte umfassenden Pakt für Wachstum, Beschäftigung und Ausbildung verständigen.|Dieser würde die Zusage der Arbeitgeber umfassen, ausreichend Lehrstellen zur Verfügung zu stellen."
"375|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Wer nachfühlen möchte, welches Chaos die rot-rote Landesregierung in ihren ersten Monaten angerichtet hat, muss sich nur den Streit um die Schließung des Klinikums Benjamin Franklin in Erinnerung rufen.|Inzwischen allerdings scheint alles Sprung- und Flatterhafte, das die Politik des ersten Jahres ausgemacht hatte, von Wowereit abgefallen zu sein.|Obwohl er, wie sein Umfeld betont, genauso häufig auf Partys geht wie immer, wirft ihm das niemand mehr vor."
"376|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Er sagt dazu:|""In der Summe muss meine Politik gerecht sein.""|Was mag es für ein merkwürdiges Gefühl sein für einen Sozialdemokraten, wenn er all das abwickeln muss, was seine Vorgänger erfunden haben und was viele Jahrzehnte im Westen als soziale Errungenschaft galt: die billigen Wohnungen, die günstigen Eintrittspreise in Schwimmbädern, die kostenlosen Schulbücher, den üppigen Öffentlichen Dienst."
"377|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Aber das ist auch nicht wichtig.|Wichtig ist, dass er ernsthaft versucht, die völlig verfahrene Berliner Politik zu ordnen.|Er hat das Glück, einen Helfer zu haben, wie er sich selten in der Politik findet."
"378|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Wichtig ist, dass er ernsthaft versucht, die völlig verfahrene Berliner Politik zu ordnen.|Er hat das Glück, einen Helfer zu haben, wie er sich selten in der Politik findet.|Mit Thilo Sarrazin, Finanzsenator, spielt er hervorragend zusammen."
"379|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Denn bei allem Sparwillen, sagt Wowereit, reiche auch die Fantasie von Sarrazin nicht aus, um zu glauben, Berlin könne das ""alleine woppen"", sagt Wowereit.|Natürlich würde Klaus Wowereit das nicht offen zugeben - aber ein wenig wundert ihn schon, dass seine Politik bei den Berlinern auf Zustimmung stößt.|Eine Meinungsumfrage von Emnid ergab jetzt, dass 52 Prozent der Berliner die Sparpolitik gutheißen."
"380|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Und: ""Die Leute haben Angst vor Veränderung, deshalb müssen sie wissen, wohin die Reise geht.""|Der Wunsch, erfolgreich zu sein und eine Portion Eitelkeit sind wichtige Produktivkräfte in der Politik - oft zum Vorteil der Bürger.|Klaus Wowereit ist mit beidem ausgestattet."
"381|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Daher gab es keinen Grund, mit der Veröffentlichung bis nach den Landtagswahlen in Hessen und Niedersachsen zu warten.|Wieder einmal wurde von der Politik Zeit vergeudet.|Inhaltlich ist Schmidt jedoch auf dem richtigen Weg."
"382|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Nie wieder Auschwitz!|Das sind die Lehren der deutschen Politik.|Wer könnte anderes wollen?"
"383|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Wer könnte anderes wollen?|Aber die Deutschen neigen dazu, die Politik allein nach diesen Grundsätzen zu betrachten.|Aber kann man seine Erfahrungsgrundsätze allein aus dem Jahrhundert der Extreme abziehen?"
"384|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|""Unglaublich"" sei das, hat der frühere SPD-Parteichef dort gesagt.|Die Politik benachteilige immer nur die Schwächsten, nie aber aber jene, die wirklich Geld hätten.|Ob das ""Neoliberalismus, verpackt in rote Watte"" sei, fragt Michel Friedman, einen Satz Lafontaines zitierend."
"385|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Lafontaine, nach dem Tode Erich Honeckers Deutschlands bekanntester lebender Saarländer, redet vier Jahre nach seinem Rückzug wieder mit in der deutschen Sozialdemokratie.|Deren Politik müsse glaubwürdiger werden, sagt er.|Man dürfe nicht vor der Wahl den Kündigungsschutz verteidigen, um ihn nach der Wahl zu lockern."
"386|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Zeugt sie vom Altbekannten - von der Schwachheit der Kunst, ihrem Narren- und Luxusdasein?|Die Politik, das Kapital, die öffentliche Moral, sie schmücken sich mit ihr und veredeln ihre Räume und Absichten - aber nur solange und wie es ihnen beliebt.|Oder zeugt sie nicht ganz im Gegenteil von der Kraft, die von Bildern ausgehen kann, und vor der man offensichtlich Angst hat?"
"387|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|In den 150 Minuten von ""Galoot"" zeigt Asher de Bentolila Thalim die schmerzvollen Erfahrungen von Exilanten, Israelis und Palästinensern, in aller Welt.|Eher eine Introspektive bietet der New Yorker Filmemacher Udi Aloni in ""Local Angel"" mit einer Montage aus Philosophie, Theologie und Politik.|Als naiver Frager will er das Paradoxon seiner eigenen Familie auflösen:"
"388|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|""Unser Ziel ist es, den potenziellen Investor so weit zu unterstützen, dass er ein wirtschaftlich tragfähiges Konzept vorlegen kann, damit die Produktion am Standort erhalten bleibt.""|Doch das letzte Wort habe nicht die Politik.|Das hat der Insolvenzverwalter, der sich derzeit nicht zu seinen Plänen äußert."
"389|2003-02-07|Zeitung|Berliner Zeitung, 07.02.2003|Nicht genug geworben|Scharfe Kritik übten die Versicherer an der Politik.|Diese habe ""nicht vehement genug für die Riester-Rente geworben"", sagte GDV-Sprecher Gaedicke."
"390|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Ohne die Grünen geht nichts.|Politik S. 5|"
"391|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|(sbo., kru.)|Politik Seite 6, Leserbriefe Seite 15|"
"392|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|""Deshalb müssten die Verantwortlichen der großen Parteien jetzt dringend handeln.|Weiter erklärte Rogowski, er lese auch aus den letzten Ergebnissen der Landtagswahlen in Niedersachsen und Hessen heraus, dass die Bürger von der Politik eine rasche Lösung der Probleme erwarteten.|""Sonst besteht die Gefahr, dass sich die Menschen von den etablierten Parteien abwenden."
"393|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Das Gesamtvolumen der Steuersenkung wird auf einen zweistelligen Milliardenbetrag beziffert.|Politik Seite 7, Wirtschaft Seite 28|"
"394|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Ein Tor, wer aber glaubt, die amerikanische Lust am Geschichtenerzählen beschränke sich auf die bloße Schwarz-Weiß-Malerei, auf die naive Lust am Kampf der Guten gegen die Bösen.|Einmal in Hochform, kennt das Spiel mit der Erzählung wenig Grenzen: Ironie, Doppelbödigkeit, Selbstzitate und spielerische Spiegelungen kennt das amerikanische Kino und in irritierender Fülle auch die amerikanische Politik.|Es seien nur Libyen, Kuba und Deutschland, die gegen die Verbrechen im Irak in keiner Weise helfen wollen - auch diese Rumsfeld-Bemerkung ist eine kleine Erzählung, eine mit weit reichenden Implikaten."
"395|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|So frivol aufs Spiel setzt nur jemand den einst verlässlich scheinenden diplomatischen Notenaustausch unter Freunden, der sich als Herr der Hauptgeschichte wähnt, samt allen spielerischen Nebengeschichten.|Die deutsche Fassungslosigkeit angesichts der überwältigenden Vitalität des amerikanischen Kinos, das auch die größten Skeptiker irgendwann in den Bann schlägt, hat nun auch das Publikum ihrer Politik eingeholt.|Die besten Geschichten stammen von Völkern, die Geschichte machen, auch wenn sie tragisch endet."
"396|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|""Die Berlinale ist ein Arbeitsfilmfestival mit hohem Entertainmentwert, das klar mit politischen Absichten programmiert ist.""|Arbeit - Vergnügen - Politik:|Das sind nicht nur die Vektoren eines modernen Festivals, das ist auch das Goldene Dreieck, in dem eine Berliner Republik ihre neue Identität finden könnte."
"397|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Auf französischer Seite gehören der Philosoph Jacques Derrida, die Schriftsteller Erik Orsenna, Jean Rouaud oder Jean-Pierre Vernant zu den Unterzeichnern.|""Nichts rechtfertigt einen Präventivangriff gegen ein Land, das eine menschenverachtende Diktatur erduldet"", schreiben die Unterzeichner, die außerdem vor der ""Legalisierung des Kriegs als Mittel der Politik"" warnen und auch einen mit Zustimmung des Sicherheitsrats geführten Angriffskrieg für völkerrechtswidrig halten.|Am zögerlichsten erweisen sich aber gerade jene Intellektuellen, die einst als Erste die internationale Tatenlosigkeit auf dem Balkan beklagten: Angesichts des augenscheinlichen Völkermords erschien ihnen Krieg als legitimes äußerstes Mittel."
"398|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Sie schließt eine Militäraktion gegen ein Regime von Massenmördern nicht aus.|Aber sie bringt die Politik wieder ins Spiel, indem sie die Einhaltung internationalen Rechts fordert und fragt, was denn nach Saddam kommen soll, und ob wir, die Demokraten, darüber mitentscheiden können.|Politik geht vor Krieg:"
"399|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Aber sie bringt die Politik wieder ins Spiel, indem sie die Einhaltung internationalen Rechts fordert und fragt, was denn nach Saddam kommen soll, und ob wir, die Demokraten, darüber mitentscheiden können.|Politik geht vor Krieg:|Das ist ein Grundsatz der Demokraten."
"400|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Politik: ""CDU: Für Zähne selbst zahlen"" von T. Levine und T. Szent-Ivanyi (5. Februar):|Mir klappern die Zähne:"
"401|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Politik: ""Doppelter Triumph der CDU"" von R. Pörtner (3. Februar):|Die Gründe in der Wahlniederlage liegen darin, dass dem Volk immer mehr in die Taschen gegriffen und auf der falschen Seite gespart wird."
"402|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Zur Karikatur von Reiner Schwalme (31. Januar):|Es ist nicht nur legitim, sondern auch richtig, Kritik an der Politik der israelischen Regierung zu äußern.|Ihre Karikatur überschreitet allerdings das ethisch zulässige Maß, zumal es nicht nur die Gesichtszüge des israelischen Ministerpräsidenten mit den Mitteln von rassistischen Stereotypen verzerrt, sondern darüber hinaus auch noch den Davidstern und den hebräischen Friedensgruß verunglimpft."
"403|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Ihre Karikatur überschreitet allerdings das ethisch zulässige Maß, zumal es nicht nur die Gesichtszüge des israelischen Ministerpräsidenten mit den Mitteln von rassistischen Stereotypen verzerrt, sondern darüber hinaus auch noch den Davidstern und den hebräischen Friedensgruß verunglimpft.|Kritik an israelischer Politik rechtfertigt nicht die Verunglimpfung von Symbolen, die Juden und Christen gleichermaßen heilig sein sollten.|Dr. Peter-Andreas Brand, Berlin"
"404|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Politik: ""Weltweit Trauer nach Columbia-Absturz"" (3. Februar):|Bei aller Trauer um die sieben zu Tode gekommenen Astronauten:"
"405|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Politik: ""Die Deutschen sollten sich Sorgen machen"", das Gespräch mit US-Botschafter Daniel Coats führte Gerold Büchner (6. Februar):|Kanzler Schröder und US-Präsident Bush bewiesen schon im Vorfeld des Irak-Konfliktes den Eindruck zweier Diplomaten-Neandertaler."
"406|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Politik: ""Irak-Krieg rückt näher"" von unseren Korrespondenten (28. Januar):|Es ist schon erstaunlich, welchem Sinneswandel der Begriff ""Krieg"" in aller Stille unterzogen wurde und wie leicht dieses bisherige Tabu-Wort plötzlich allen von der Zunge geht."
"407|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|US-Außenpolitik setzt auf Herrschaft und Stärke.|Mit geopolitischem Streben nach Einflusssphären, der Errichtung weltweiter amerikanischer Militärpräsenz, der Eroberung von Ölvorkommen sowie der Expansion von amerikanischen Märkten wird eine imperiale Ordnung aufgebaut, die einer Politik der internationalen Gerechtigkeit und des Völkerrechts zuwiderläuft.|Ziel des ""American way of life"" ist die politische Neugestaltung des Nahen und Mittleren Ostens mit Blick nach Südostasien."
"408|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Politik: ""Empörung über Washington"" von unseren Korrespondenten (24. Januar):|Ich bin amerikanischer Student in Berlin als Stipendiat einer deutschen Stiftung."
"409|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Herr Paracelsus steht mit seinem Leserbrief der Irak-Rhetorik des Weißen Hauses in nichts nach.|Die Frage, ob Krieg ein Mittel der Politik sein kann, mag sich je nach Geisteshaltung stellen oder nicht.|Die Frage nach der Rechtmäßigkeit eines ""Erschöpfungskrieges"", wie er vorgeschlagen und am Beispiel Israels gerühmt wird, gehört meiner Ansicht nach in eine andere Kategorie."
"410|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Deutschland braucht dringend ein wirtschaftspolitisches Gesamtkonzept, das in die Zukunft weist.|Ich lese auch aus den letzten Wahlergebnissen heraus: die Bürger erwarten von der Politik eine rasche Lösung der Probleme.|Sonst besteht die Gefahr, dass sich die Menschen von den etablierten Parteien abwenden."
"411|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Das spricht nicht für ein konstruktives Miteinander.|Auch in der Politik menschelt es natürlich.|Aber ich kann der Union nur raten: stellt solche Themen zurück!"
"412|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Herr Todenhöfer, Sie melden sich nach vielen Jahren politischer Abstinenz überraschend wieder publizistisch zu Wort.|Ich hätte wahrscheinlich nie wieder in der Öffentlichkeit über Politik gesprochen, wenn es nicht den 11. September gegeben hätte und den darauf folgenden Krieg gegen Afghanistan.|Einen Krieg gegen ein Land, das ich kenne."
"413|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Das ist ein langer Lernprozess.|Damals haben Sie den Abschied aus der Politik nicht begründet.|Haben Sie uns das gerade nachgereicht?"
"414|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Da wusste ich, ich muss eine Entscheidung treffen.|Hatten Sie nicht Entzugserscheinungen nach zwanzig Jahren Politik?|Am Anfang schwere."
"415|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Die französische Außenministerin hat noch vor wenigen Tagen ausdrücklich darauf hingewiesen, dass die Waffeninspekteure der Uno danach erheblich mehr Waffen zerstört haben als der gesamte Golfkrieg.|Ich finde, ein positives Ergebnis der Politik der letzten zwölf Jahre ist ja, dass Saddam Hussein eingedämmt worden ist.|Clintons Verteidigungsminister Cohen hat noch im Januar vor zwei Jahren ausdrücklich gesagt, Saddam Hussein stelle keine Gefahr mehr für seine Nachbarn dar."
"416|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Wenn sie es nicht tun, hat Schröder das Spiel verloren.|Macht man so Politik?|Ich habe Schröder nie gewählt und werde ihn auch nie wählen."
"417|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Aber wenn es möglich ist, dass sich Kräfte an die Spitze des Staates setzen, die Angriffskriege starten, dann scheint an dem ganzen System etwas nicht zu stimmen.|Ist das nur ein Ausrutscher oder nicht vielmehr eine lang angelegte imperiale Politik?|Innerhalb der amerikanischen Politik wird über diesen Kurs sehr gestritten."
"418|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Ist das nur ein Ausrutscher oder nicht vielmehr eine lang angelegte imperiale Politik?|Innerhalb der amerikanischen Politik wird über diesen Kurs sehr gestritten.|Der Schock des 11. September hat viele daran gehindert, die eigene Regierung zu kritisieren, weil ihnen das als Mangel an Patriotismus ausgelegt worden wäre."
"419|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Sieht nicht so aus, als wäre so zurzeit ein Krieg zu verhindern.|Ich glaube, dass wir an einer Weggabelung stehen, an der über die internationale Politik der nächsten Jahre entschieden wird.|Im Kern geht es um die Frage, wie man Terrorismus bekämpft."
"420|2003-02-08|Zeitung|Berliner Zeitung, 08.02.2003|Auf dieser Basis gedeiht Terrorismus.|Die beste Strategie, mit der man den Terrorismus besiegen kann, ist eine gerechte Politik.|Da hat sich Ihre Position in den letzten zwanzig Jahren dann aber doch radikal verändert."
"421|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Heute übernehmen Bundeswehrsoldaten die Führung der Afghanistan-Schutztruppe.|Politik Seite 9|"
"422|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|(jöm.)|Politik Seite 7, Berlin Seite 21|"
"423|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|""Ich habe den Beginn dessen gesehen, dass strittige Fragen hier nun ernster genommen werden"", sagte Blix.|Tagesthema S. 2 Leitartikel S. 4, Politik S. 8, Berlin S. 19|"
"424|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Überzeugungen sind eine wichtige Sache in der Politik, vor allem aber in einer Traditionspartei wie der sozialdemokratischen.|Ihr Generalsekretär Olaf Scholz zum Beispiel ist davon überzeugt, dass in der SPD Einigkeit über den künftigen Kurs herrsche."
"425|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Die Erinnerung an die deutsche Schuld werde verdrängt.|Die Haltung der griechischen Regierung führte Stefani auf den großen Einfluss Deutschlands auf die griechische Politik zurück.|Mit der Entscheidung des Straßburger Gerichtshofs wurde ein seit Jahren andauernder Rechtsstreit um Reparationen beendet."
"426|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|""Max"" jedenfalls zeigt den Kriegsheimkehrer Hitler als sonderbaren, aber für die Menschheit noch nicht ganz verlorenen Kunstmaler 1918 in München.|Man sieht, wie er sich mit dem - fiktiven - jüdischen Galeristen Max Rothman befreundet; für den Rest des Films debattieren die beiden ungleichen Figuren alsdann über das Verhältnis zwischen Kunst und Politik.|Rothman findet Hitlers Bilder nicht authentisch genug; Hitler findet, dass die authentische Kunst der Moderne in der Ästhetisierung des Politischen liegt."
"427|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|In seinen letzten Stunden als klassischer Künstler, in einer letzten, fiebrigen, wahnhaften Nacht bemalt er noch einmal Aberdutzende von Zetteln mit den Bildern der Zukunft - flotte Adler und finstere Totenköpfe; SS-Uniformen und BDM-Zöpfe; gegen Morgen erfindet Hitler dann auch noch die späteren Hitler-Autobahnen.|Kann sein, dass der Regisseur Menno Meyjes hier einen ernst zu nehmenden Autorenfilm drehen wollte, der die alte Frage von Politik und Ästhetik noch einmal neu diskutiert.|Der Betrachter fühlt sich jedoch eher wie in ""Nazi Wars - Episode I"", dem Prequel zu der gleichnamigen Fantasy-Blockbuster-Trilogie: Faszinierend, wie aus dem jungen, noch nicht ganz bösen, aber doch schon zu Jähzorn und krausem Gerede neigenden Kunstmaler Anakin allmählich der böse Diktator Darth Hitler entsteht."
"428|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Seit mehr als fünfzig Jahren, so lange wie kaum ein anderer Historiker, untersucht Raul Hilberg den Holocaust.|Seine umfangreiche Arbeit über ""Die Vernichtung der europäischen Juden"" von 1961 gilt als Standardwerk, ihre These von der Verantwortlichkeit der deutschen Eliten in Staat, Militär und Wirtschaft für die antisemitische Politik als unbestritten.|Es hat zwanzig Jahre gedauert, bis diese Gesamtdarstellung auch in Deutschland erschien und Hilberg die ihm zustehende Anerkennung erfuhr."
"429|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Die Ebenen der Bürokratie, auf denen ""Erlasse"", ""Runderlasse"", ""Verfügungen"", ""Rundverfügungen"" und ""Anweisungen"" verfasst wurden, werden so sorgfältig definiert wie die Reichweite von ""Gesetzen"", ""Verordnungen"", ""Durchführungsverordnungen"", ""Anordnungen"", ""Durchführungsbestimmungen"" und ""Bekanntmachungen"".|In den Quellen der Verwaltung wird die antisemitische Politik zu ""Maßnahmen"", ""Aktionen"" und der ""Lösung"" von ""drängenden Problemen"".|Beispielhaft entschlüsselt Hilberg die Euphemismen, Abbreviaturen und Auslassungen dieses Codes."
"430|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Er ist nur der vorwegeilende Marktstaat, letztlich der verlängerte Arm des Weltmarktes.|Neoliberale Politik ist eigentlich gar keine Politik, sondern die Ökonomisierung der Politik.|Wenn die Sache so steht - müsste es dann nicht um Becks neue kritische Theorie schlecht bestellt sein?"
"431|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Er ist nur der vorwegeilende Marktstaat, letztlich der verlängerte Arm des Weltmarktes.|Neoliberale Politik ist eigentlich gar keine Politik, sondern die Ökonomisierung der Politik.|Wenn die Sache so steht - müsste es dann nicht um Becks neue kritische Theorie schlecht bestellt sein?"
"432|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Er ist nur der vorwegeilende Marktstaat, letztlich der verlängerte Arm des Weltmarktes.|Neoliberale Politik ist eigentlich gar keine Politik, sondern die Ökonomisierung der Politik.|Wenn die Sache so steht - müsste es dann nicht um Becks neue kritische Theorie schlecht bestellt sein?"
"433|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|""Die Attacke der Weltwirtschaft auf die Staatenwelt - soll man sagen, deren feindliche Übernahme?|- könnte in einer Politik der ungewollten Nebenfolgen die Geburtsstunde eines kosmopolitischen Regimes sein.""|Es ist die Weltwirtschaft selbst, die gegen ihre Intentionen letztlich zur kosmopolitischen Vernunft führen muss."
"434|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Würde der poetische Text und das Reden darüber durch die jüdische Herkunft des Autors eigens markiert, könnte gerade dieses Vorgehen selbst wieder als eine Form der antisemitischen Ausgrenzung gelesen werden.|Weil Briegleb genau zu wissen glaubt, was Richter ""über deutsche Geschichte, Juden und neue Politik in seinem Herzen wirklich dachte"", nimmt er ihm auch die Pläne zu einem Dialog zwischen Exilliteraten und Schriftstellern der ""Inneren Emigration"" nicht ab.|Wenn Richter bei der Verleihung des Schickele-Preises 1952 die Versäumnisse in der Verständigung beider Gruppen beklage (""Nein, wir hätten nicht vergessen dürfen, wir vergaßen die Verpflichtung, jede Entfremdung zu überbrücken""), sei er unglaubwürdig."
"435|2003-02-10|Zeitung|Berliner Zeitung, 10.02.2003|Landeschef Ralf Christoffers, der in seiner Rede noch einmal die Politikfähigkeit der PDS angemahnt hatte, wurde mit 155 von 180 Stimmen überraschend deutlich in seinem Amt bestätigt.|""Es gibt eine Mehrheit für eine realistische Politik"", sagte Christoffers nach Bekanntgabe des Wahlergebnisses.|Kurios: Zwar enthielten sich 25 Delegierte der Stimme, doch Gegenstimmen gab es keine - weil die Delegierten auf den Wahlzetteln gar nicht mit Nein stimmen konnten."
